"Id","Name","Aka","Type","Clan","Discipline","Pool Cost","Blood Cost","Conviction Cost","Burn Option","Card Text","Flavor Text","Set","Requirement","Banned","Artist","Capacity","Draft"
"100554","Disengage","","Combat","","","","","","","Do not replace until after combat.
Press, only usable to end combat. Alternatively, burn 1 blood to cancel a grapple card (such as Immortal Grapple or Mighty Grapple) as it is played (no cost is paid for that card).","And that's the break I was looking for
And you could hear me screaming a mile away
As I was headed out toward the door
Lynyrd Skynyrd, ""Gimme Three Steps""","KMW:C, Third:PM2","","","Roel Wielinga","",""
"100555","Disguised Weapon","","Combat","","Obfuscate","","","","","Only usable before range is chosen if you have a weapon card in your hand.
[obf] Equip this vampire with that weapon (and pay cost to equip as normal).
[OBF] As above, but usable when choosing a strike.","","Jyhad:C, VTES:C, Sabbat:C, SW:C, CE:C/PM2, LoB:PO","","","Eric LaCombe; Anson Maddocks","",""
"100556","Dismemberment of Osiris","","Action","","Serpentis","","1","","","[ser] (D) Burn a titled vampire in torpor (this is not diablerie). Each ready vampire of the same clan as the titled vampire burns 1 blood.
[SER] As above, and the titled vampire's controller burns 1 pool.","","FN:R2, POD:DTC","","","Steve Ellis","",""
"100557","Disputed Territory","","Political Action","","","","","","","Choose a location and a Methuselah. Successful referendum means the chosen Methuselah takes control of the chosen location.","","Jyhad:C, VTES:C, Sabbat:C, SW:PL/PV2, FN:PG, CE:PN/PV, Anarchs:PAB, BH:PTo, LoB:PG, Third:PB","","","Stuart Beel; L. A. Williams","",""
"100558","Dissolution","","Combat","","Protean","","1","","","[pro] Maneuver or press.
[PRO] Maneuver, with an optional press.","Imperious, choleric, irascible, extreme in everything, with a dissolute imagination the like of which has never been seen...
Marquis de Sade, ""Last Will and Testament""","Sabbat:U, SW:U, Third:U","","","Ron Spencer","",""
"100559","Distant Friend","","Action","","Dominate & Presence","","","","","+1 stealth action.
[dom][pre] (D) Choose a vampire and put this card in play. If this action is successful, unlock the acting vampire at the end of the turn. You may burn this card during a referendum to change the votes and ballots of the chosen vampire to votes and ballots of your choice.
[DOM][PRE] As above, and you can force the chosen vampire to cast his or her votes and ballots when you burn this card.","","KMW:R","","","Brad Williams","",""
"100560","Distraction","","Action","","Celerity","","1","","","+1 stealth action.
[cel] Draw 5 cards. Discard down to your hand size afterward.
[CEL] (D) Lock a minion controlled by your predator or prey.","","Jyhad:R2, VTES:R, SW:PB, CE:PTo","","","Mark Poole","",""
"100561","Dive Bomb","","Action","","Flight","","","","","+1 stealth action.
[FLIGHT] (D) Enter combat with a minion. This acting minion gets 1 optional maneuver during the first round of that combat. If this action is blocked, the blocking minion gets 1 optional press during the first round of the resulting combat.","","HttB:C/A2","","","Brian LeBlanc","",""
"100562","Dive into Madness","","Action","","Dementation","","","","","+1 stealth action.
[dem] This vampire gains superior Dementation [DEM] until the end of the turn and unlocks.
[DEM] Put this card on the acting vampire. The vampire with this card gets +1 bleed. Any older vampire can burn this card as a (D) action. A vampire can have no more than two Dive into Madness cards.","","Gehenna:C, KoT:C","","","William O'Connor","",""
"100563","Diversion","","Combat","","Celerity/Fortitude/Thaumaturgy","","","","","Requires a ready anarch.
[cel] Gain one additional strike {(limited)}.
[for] Prevent up to 2 damage.
[tha] Strike: ranged. Steal 1 blood with an optional maneuver.","","Anarchs:C2/PAG4","anarch","","Andrew Bates","",""
"100564","Diversity","","Political Action","","","","","","","Successful referendum means each Methuselah gains X pool, where X is the number of clans to which his or her ready vampires belong.","We must learn not just to accept differences between ourselves and our ideas, but to enthusiastically welcome and enjoy them.
Gene Roddenberry","Gehenna:C, KMW:PAn2, KoT:C","","","Brian LeBlanc","",""
"100565","Divine Image","","Action Modifier","","Serpentis","","1","","","Only usable as the action is announced.
[ser] This action, this vampire gets -1 stealth, +1 strength, and can prevent 1 damage each combat.
[SER] As above, with +1 bleed that does not count against the limit, only usable during a bleed action.","","LotN:U, POD:DTC","","","Jim Di Bartolo","",""
"100566","Divine Sign","","Action","","Necromancy","","","","","+1 stealth action.
[nec] (D) Choose any minion, put this card on this acting minion, and unlock this acting minion. This minion gets +2 intercept against the chosen minion. The chosen minion can burn this card as a (D) action. A minion can have only one Divine Sign.
[NEC] As above, and if this minion blocks the chosen minion, their controller plays with an open hand during the resulting combat.","","Gehenna:C, LotN:PG2, HttB:PSam, POD:DTC","","","David Day","",""
"100567","Dodge","","Combat","","","","","","","Do not replace until after combat.
Strike: dodge.","","Jyhad:C, VTES:C, SW:PV, CE:C, Anarchs:PAB/PAG, Third:C","","","L. A. Williams","",""
"100568","Dog Pack","","Retainer","Gangrel","","2","","","","Animal with 1 life.
Minions opposing the minion with this retainer cannot end combat as a strike.","","AH:R2, Anarchs:PG","","","Randy Gallegos","",""
"100569","Dogs of War","","Political Action","Brujah antitribu","","","","","","If this referendum passes, put this card in play. Any Brujah antitribu may enter combat with a ready minion as a (D) action. You may burn this card to cancel a blood hunt called on a Brujah antitribu. Any vampire may call a referendum to burn this card as a +1 stealth political action.","","Third:U/PB","","","Mark Poole","",""
"100570","Domain Challenge","","Political Action","","","","","","","Successful referendum means each Methuselah burns 1 pool for each locked minion he or she controls.","","Jyhad:C, VTES:C, CE:C/PV2, Anarchs:PAB, LoB:PG2","","","Douglas Shuler","",""
"100571","Domain of Evernight","","Action Modifier","","Temporis/Obfuscate","","","","","[obf] +1 stealth.
[tem] If this action is blocked, all damage done to vampires in the resulting combat is aggravated.
[TEM] Only usable when an action is successful. Usable after resolution. Unlock this acting vampire. A vampire can play only one Domain of Evernight at superior each turn.","","BL:C1, LoB:C","","","Brian LeBlanc","",""
"100572","Dominate","","Master","","","","","","","Master: Discipline.
Put this card on a vampire. This vampire gains 1 level of Dominate [dom]. Capacity increases by 1: the vampire is one generation older. Cannot be placed on a vampire with superior Dominate [DOM].","","Jyhad:C, VTES:C, Sabbat:C, SW:C/PL/PV, FN:PG, CE:C, Third:PTr, KoT:PV, HttB:PKia","","","Douglas Shuler; Mike Dringenberg; Marco Marzoni","+1",""
"100573","Dominate Kine","Kine Dominance","Action","","Dominate","","2","","","[dom] +1 stealth action. (D) Bleed with +1 bleed.
[DOM] (D) Steal a location controlled by another Methuselah.","I'd personally never want a zoo for a hunting ground, but taking it from the Gangrel was a fair reprisal.
Ventrue, Adelaide 2002 Storyline","Jyhad:R, VTES:R, CE:R/PV, Third:PTr, LotN:PG2, KoT:PV, FB:PV2","","","Mark Poole; Brian LeBlanc","",""
"100574","Dominion","","Master","","","","","","","Master.
Put this card on a Black Hand vampire. Vampires must burn 1 blood to attempt to block this Black Hand vampire. A vampire can have only one Dominion.","","BH:C/PM2","","","Drew Tucker","",""
"100575","Donate","","Power","","Martyrdom","","","","","[ACTION MODIFIER] [1 CONVICTION] {Only usable during a bleed action} by a ready imbued other than the acting mortal. Burn this card to give the acting mortal you control +1 bleed ({limited}).
[REACTION] [1 CONVICTION] Burn this card to give another mortal you control +1 intercept.
[COMBAT] [1 CONVICTION] Only usable by a ready imbued other than a mortal combatant you control. Burn this card to give that combatant +1 strength for the remainder of the action.","","NoR:C","","","Brian LeBlanc","",""
"100576","Donnybrook","","Combat","","Obfuscate/Protean/Serpentis","","","","","Requires an anarch. Only usable at close range.
[obf] Strike: burn equipment or retainer with first strike.
[pro] Strike: hand strike, aggravated.
[ser] Strike: steal 2 blood or life (becoming blood).","","AU:C","anarch","","Tomáš ""zelgaris"" Zahradníček","",""
"100577","Dr. Marisa Fletcher, CDC","","Event","","","","","","","Government.
During your unlock phase, add two counters to this card from the blood bank. When a vampire with capacity less than X is blocked while hunting, where X is the number of counters on this card, burn that vampire and all the counters on this card.","","KMW:R","","","Ken Meyer, Jr.","",""
"100578","Draba","","Action/Reaction","","Chimerstry","","1","","","[chi] +1 stealth action. (D) Put this card on a ready minion. You still control this card. Burn this card to reduce that minion's stealth to 0. The minion may still increase his or her stealth.
[CHI] Reduce the acting minion's stealth to 0. The minion may still increase his or her stealth.","","FN:C2","","","Brian LeBlanc","",""
"100579","Draeven Softfoot","Draeven Softfoot (Changeling)","Ally","Kiasyd","","","","","Y","Unique changeling with 1 life. 1 strength, 0 bleed.
Draeven can lock to prevent 1 damage inflicted in combat on a Kiasyd. Cards requiring Chimerstry [chi] can neither be played while he is acting, blocking, or in combat, nor target him.","","HttB:R/B1","","","Paul Ballard","",""
"100580","Dragon's Breath Rounds","","Combat","","","","","","","Ammo.
Only usable before resolution of a gun's strike. This gun inflicts +2 aggravated damage each strike for the remainder of this combat. Burn the gun after strike resolution. No more than one ammo card can be used on a gun each combat.","","Jyhad:U, VTES:U, CE:U/PTo, Third:U, KoT:U","","","Quinton Hoover; Steve Prescott","",""
